left_clause_id,right_clause_id,left_document,right_document,left_text,right_text,similarity
DOC-001-1,DOC-002-1,Mechanical Execution Guideline,Mechanical Annex for Field Delivery,The contractor shall deliver the 3D mechanical model within 10 calendar days after kickoff.,The contractor shall deliver the 3D mechanical model within 15 calendar days after kickoff.,0.7711
DOC-001-2,DOC-002-2,Mechanical Execution Guideline,Mechanical Annex for Field Delivery,Quality verification shall be performed by the contractor quality lead before issue.,Quality verification shall be performed by the client inspection team before issue.,0.3891
DOC-001-2,DOC-003-2,Mechanical Execution Guideline,Instrumentation Design Memo,Quality verification shall be performed by the contractor quality lead before issue.,Quality verification shall be performed by the engineering coordinator before issue.,0.4701
DOC-001-2,DOC-004-2,Mechanical Execution Guideline,Instrumentation Construction Appendix,Quality verification shall be performed by the contractor quality lead before issue.,Quality verification shall be performed by the engineering coordinator before issue.,0.4701
DOC-001-3,DOC-003-3,Mechanical Execution Guideline,Instrumentation Design Memo,Measurement for progress shall be based on isometric sheets approved by engineering.,Measurement for progress shall be based on approved panel list packages.,0.4066
DOC-001-3,DOC-004-3,Mechanical Execution Guideline,Instrumentation Construction Appendix,Measurement for progress shall be based on isometric sheets approved by engineering.,Measurement for progress shall be based on approved panel list packages.,0.4066
DOC-001-4,DOC-002-4,Mechanical Execution Guideline,Mechanical Annex for Field Delivery,The applicable technical standard is ENG-VAL-01.,The applicable technical standard is ENG-VAL-02.,0.7154
DOC-001-4,DOC-003-4,Mechanical Execution Guideline,Instrumentation Design Memo,The applicable technical standard is ENG-VAL-01.,The applicable technical standard is ENG-INS-05.,0.4996
DOC-001-4,DOC-004-4,Mechanical Execution Guideline,Instrumentation Construction Appendix,The applicable technical standard is ENG-VAL-01.,The applicable technical standard is ENG-INS-07.,0.4996
DOC-002-2,DOC-003-2,Mechanical Annex for Field Delivery,Instrumentation Design Memo,Quality verification shall be performed by the client inspection team before issue.,Quality verification shall be performed by the engineering coordinator before issue.,0.4158
DOC-002-2,DOC-004-2,Mechanical Annex for Field Delivery,Instrumentation Construction Appendix,Quality verification shall be performed by the client inspection team before issue.,Quality verification shall be performed by the engineering coordinator before issue.,0.4158
DOC-002-3,DOC-003-3,Mechanical Annex for Field Delivery,Instrumentation Design Memo,Measurement for progress shall be based on bill of quantities signed by planning.,Measurement for progress shall be based on approved panel list packages.,0.3632
DOC-002-3,DOC-004-3,Mechanical Annex for Field Delivery,Instrumentation Construction Appendix,Measurement for progress shall be based on bill of quantities signed by planning.,Measurement for progress shall be based on approved panel list packages.,0.3632
DOC-002-4,DOC-003-4,Mechanical Annex for Field Delivery,Instrumentation Design Memo,The applicable technical standard is ENG-VAL-02.,The applicable technical standard is ENG-INS-05.,0.4996
DOC-002-4,DOC-004-4,Mechanical Annex for Field Delivery,Instrumentation Construction Appendix,The applicable technical standard is ENG-VAL-02.,The applicable technical standard is ENG-INS-07.,0.4996
DOC-003-1,DOC-004-1,Instrumentation Design Memo,Instrumentation Construction Appendix,The instrumentation panel list shall be delivered within 12 calendar days after kickoff.,The instrumentation panel list shall be delivered within 12 calendar days after kickoff.,1.0
DOC-003-2,DOC-004-2,Instrumentation Design Memo,Instrumentation Construction Appendix,Quality verification shall be performed by the engineering coordinator before issue.,Quality verification shall be performed by the engineering coordinator before issue.,1.0
DOC-003-3,DOC-004-3,Instrumentation Design Memo,Instrumentation Construction Appendix,Measurement for progress shall be based on approved panel list packages.,Measurement for progress shall be based on approved panel list packages.,1.0
DOC-003-4,DOC-004-4,Instrumentation Design Memo,Instrumentation Construction Appendix,The applicable technical standard is ENG-INS-05.,The applicable technical standard is ENG-INS-07.,0.7154
