left_clause_id,right_clause_id,left_document,right_document,issue_type,left_value,right_value,similarity,agent_verdict,agent_explanation,review_mode
DOC-001-1,DOC-002-1,Mechanical Execution Guideline,Mechanical Annex for Field Delivery,deadline_days,10,15,0.7711,true_inconsistency,The clauses disagree on deadline_days: '10' versus '15'.,fallback
DOC-001-4,DOC-002-4,Mechanical Execution Guideline,Mechanical Annex for Field Delivery,technical_standard,ENG-VAL-01,ENG-VAL-02,0.7154,true_inconsistency,The clauses disagree on technical_standard: 'ENG-VAL-01' versus 'ENG-VAL-02'.,fallback
DOC-003-4,DOC-004-4,Instrumentation Design Memo,Instrumentation Construction Appendix,technical_standard,ENG-INS-05,ENG-INS-07,0.7154,true_inconsistency,The clauses disagree on technical_standard: 'ENG-INS-05' versus 'ENG-INS-07'.,fallback
DOC-001-4,DOC-003-4,Mechanical Execution Guideline,Instrumentation Design Memo,technical_standard,ENG-VAL-01,ENG-INS-05,0.4996,true_inconsistency,The clauses disagree on technical_standard: 'ENG-VAL-01' versus 'ENG-INS-05'.,fallback
DOC-001-4,DOC-004-4,Mechanical Execution Guideline,Instrumentation Construction Appendix,technical_standard,ENG-VAL-01,ENG-INS-07,0.4996,true_inconsistency,The clauses disagree on technical_standard: 'ENG-VAL-01' versus 'ENG-INS-07'.,fallback
DOC-002-4,DOC-003-4,Mechanical Annex for Field Delivery,Instrumentation Design Memo,technical_standard,ENG-VAL-02,ENG-INS-05,0.4996,true_inconsistency,The clauses disagree on technical_standard: 'ENG-VAL-02' versus 'ENG-INS-05'.,fallback
DOC-002-4,DOC-004-4,Mechanical Annex for Field Delivery,Instrumentation Construction Appendix,technical_standard,ENG-VAL-02,ENG-INS-07,0.4996,true_inconsistency,The clauses disagree on technical_standard: 'ENG-VAL-02' versus 'ENG-INS-07'.,fallback
DOC-001-2,DOC-004-2,Mechanical Execution Guideline,Instrumentation Construction Appendix,responsibility,contractor quality lead before issue,engineering coordinator before issue,0.4701,true_inconsistency,The clauses disagree on responsibility: 'contractor quality lead before issue' versus 'engineering coordinator before issue'.,fallback
DOC-001-2,DOC-003-2,Mechanical Execution Guideline,Instrumentation Design Memo,responsibility,contractor quality lead before issue,engineering coordinator before issue,0.4701,true_inconsistency,The clauses disagree on responsibility: 'contractor quality lead before issue' versus 'engineering coordinator before issue'.,fallback
DOC-002-2,DOC-004-2,Mechanical Annex for Field Delivery,Instrumentation Construction Appendix,responsibility,client inspection team before issue,engineering coordinator before issue,0.4158,true_inconsistency,The clauses disagree on responsibility: 'client inspection team before issue' versus 'engineering coordinator before issue'.,fallback
DOC-002-2,DOC-003-2,Mechanical Annex for Field Delivery,Instrumentation Design Memo,responsibility,client inspection team before issue,engineering coordinator before issue,0.4158,true_inconsistency,The clauses disagree on responsibility: 'client inspection team before issue' versus 'engineering coordinator before issue'.,fallback
DOC-001-3,DOC-004-3,Mechanical Execution Guideline,Instrumentation Construction Appendix,measurement_basis,isometric sheets approved by engineering,approved panel list packages,0.4066,true_inconsistency,The clauses disagree on measurement_basis: 'isometric sheets approved by engineering' versus 'approved panel list packages'.,fallback
DOC-001-3,DOC-003-3,Mechanical Execution Guideline,Instrumentation Design Memo,measurement_basis,isometric sheets approved by engineering,approved panel list packages,0.4066,true_inconsistency,The clauses disagree on measurement_basis: 'isometric sheets approved by engineering' versus 'approved panel list packages'.,fallback
DOC-001-2,DOC-002-2,Mechanical Execution Guideline,Mechanical Annex for Field Delivery,responsibility,contractor quality lead before issue,client inspection team before issue,0.3891,true_inconsistency,The clauses disagree on responsibility: 'contractor quality lead before issue' versus 'client inspection team before issue'.,fallback
DOC-002-3,DOC-003-3,Mechanical Annex for Field Delivery,Instrumentation Design Memo,measurement_basis,bill of quantities signed by planning,approved panel list packages,0.3632,true_inconsistency,The clauses disagree on measurement_basis: 'bill of quantities signed by planning' versus 'approved panel list packages'.,fallback
DOC-002-3,DOC-004-3,Mechanical Annex for Field Delivery,Instrumentation Construction Appendix,measurement_basis,bill of quantities signed by planning,approved panel list packages,0.3632,true_inconsistency,The clauses disagree on measurement_basis: 'bill of quantities signed by planning' versus 'approved panel list packages'.,fallback
